Title,Release_Date,Expired_Date,Document_Number,Document_Type,Activity_Code,Clinical_Trials,URL
Building in vivo Preclinical Assays of Circuit Engagement for Application in Therapeutic Development (R01 Clinical Trial Not Allowed),10/30/2018,2/5/2019,RFA-MH-19-235,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-235.html
"Limited Competition:  Restoring Research Resources Lost or Damaged Due to Hurricanes Harvey, Irma, and Maria (R24 Clinical Trial Optional)",10/29/2018,12/15/2018,RFA-OD-18-102,RFA,R24,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-102.html
"Limited Competition: Extramural Research Facilities Restoration Program: Hurricanes Harvey, Irma, and Maria Disaster Relief (C06 Clinical Trial Not Allowed)",10/29/2018,1/5/2019,PAR-19-041,PAR,C06,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-041.html
Lewy Body Dementia Center Without Walls (CWOW) (U54 Clinical Trial Not Allowed),10/29/2018,1/5/2019,RFA-NS-19-013,RFA,U54,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-19-013.html
Countermeasures Against Chemical Threats (CounterACT): Identification of Therapeutic Lead Compounds (U01 Clinical Trial Not Allowed),10/26/2018,9/15/2021,PAR-19-039,PAR,U01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-039.html
Countermeasures Against Chemical Threats (CounterACT): Optimization of Therapeutic Lead Compounds (U01 Clinical Trial Optional),10/26/2018,9/15/2021,PAR-19-040,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-19-040.html
Early Screening for Autism Spectrum Disorder (R01 Clinical Trial Not Allowed),10/25/2018,2/5/2019,RFA-MH-19-120,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-120.html
Early Screening for Autism Spectrum Disorder (R21 Clinical Trial Not Allowed),10/25/2018,2/5/2019,RFA-MH-19-121,RFA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-121.html
Medical Scientist Training Program (T32),10/25/2018,9/8/2021,PAR-19-036,PAR,T32,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-036.html
Initiative for Maximizing Student Development (IMSD) (T32),10/25/2018,1/29/2021,PAR-19-037,PAR,T32,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-037.html
NINDS Morris K. Udall Center without Walls for Parkinsons Disease Research (P20 Clinical Trial Optional),10/25/2018,1/5/2019,RFA-NS-18-027,RFA,P20,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-18-027.html
NINDS Morris K. Udall Centers of Excellence for Parkinsons Disease Research (P50 Clinical Trial Optional),10/25/2018,1/5/2019,RFA-NS-18-026,RFA,P50,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-18-026.html
Development of Personalized In Vitro Assays to Quantitatively Assess Age-related Changes in Cellular Resiliencies to Physiologic Stressors (R43/R44 Clinical Trial Not Allowed),10/25/2018,3/9/2019,RFA-AG-19-025,RFA,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-19-025.html
Development of Personalized In Vitro Assays to Quantitatively Assess Age-related Changes in Cellular Resiliencies to Physiologic Stressors (R41/R42 Clinical Trial Not Allowed),10/25/2018,3/9/2019,RFA-AG-19-026,RFA,R41/R42,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-19-026.html
Reproductive Medicine Collaborative Clinical Trials Program (Collaborative R01 Clinical Trial Required),10/24/2018,1/19/2019,RFA-HD-19-022,RFA,R01,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-19-022.html
Administrative Supplements to Cancer Center Support Grants to Strengthen NCI-Supported Community Outreach Capacity through Community Health Educators of the National Outreach Network (Admin Suppl Clinical Trial Not Allowed),10/24/2018,12/16/2018,PA-19-035,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-035.html
Commercializing Understudied Proteins from the Illuminating the Druggable Genome Project (IDG) (R43/R44 Clinical Trial Not Allowed),10/24/2018,9/6/2021,PA-19-034,PA,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-034.html
Commercializing Understudied Proteins from the Illuminating the Druggable Genome Project (IDG) (R41/R42 Clinical Trial Not Allowed),10/24/2018,9/6/2021,PA-19-033,PA,R41/R42,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-033.html
"Notice Announcing NIEHS Use of PA-18-935 ""Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement -  Clinical Trial Optional)"" for Hurricanes Florence and Michael Research Response",10/23/2018,,NOT-ES-19-003,NOT,,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-19-003.html
NLM Grants for Scholarly Works in Biomedicine and Health (G13 Clinical Trial Not Allowed),10/23/2018,2/27/2020,PAR-19-032,PAR,G13,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-032.html
Clinical Studies of Orphan Products Addressing Unmet Needs of Rare Diseases (R01),10/23/2018,6/26/2019,RFA-FD-20-001,RFA,R01,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-20-001.html
A Census of Cells and Circuits in the Aging Brain (R01 Clinical Trial Not Allowed),10/23/2018,3/9/2019,RFA-AG-19-027,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-19-027.html
BRAIN Initiative: Research Resource Grants for Technology Integration and Dissemination (U24 Clinical Trial Not Allowed),10/22/2018,6/28/2021,RFA-NS-19-006,RFA,U24,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-19-006.html
Administrative Supplements for Complementary Health Practitioner Research Experience (Admin Supp Clinical Trial Optional),10/18/2018,10/2/2021,PA-19-031,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-031.html
BRAIN Initiative: Research on the Ethical Implications of Advancements in Neurotechnology and Brain Science (R01 Clinical Trial Optional),10/18/2018,10/10/2020,RFA-MH-19-400,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-400.html
NIDDK Education Program Grants (R25 Clinical Trial Not Allowed),10/18/2018,9/26/2021,PAR-19-030,PAR,R25,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-030.html
Innovation Corps (I-Corps) at NIH Program for NIH and CDC Translational Research (Admin Supp Clinical Trial Not Allowed),10/17/2018,1/29/2019,PA-19-029,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-029.html
Basic Neurodevelopmental Biology of Circuits and Behavior (R01 Clinical Trial Not Allowed),10/17/2018,2/5/2019,PAR-19-027,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-027.html
Basic Neurodevelopmental Biology of Brain Circuits and Behavior (R21 Clinical Trial Not Allowed),10/17/2018,2/5/2019,PAR-19-028,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-028.html
Lymphatics in Health and Disease in the Digestive System (R01 Clinical Trial Not Allowed),10/16/2018,2/22/2019,RFA-DK-18-021,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-021.html
Enhancing Data Management and Sharing in NIEHS-Funded Research Grants (Admin Supp Clinical Trial Not Allowed),10/12/2018,2/2/2021,PA-19-025,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-025.html
Diabetes Research Centers (P30),10/12/2018,6/21/2019,RFA-DK-18-020,RFA,P30,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-020.html
Addressing Caregiver Symptoms through Technological Tools (R01 Clinical Trial Optional),10/12/2018,1/8/2022,PA-19-023,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-19-023.html
Addressing Caregiver Symptoms through Technological Tools (R21 Clinical Trial Optional),10/12/2018,1/8/2022,PA-19-024,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-19-024.html
Specialized Alcohol Research Centers Clinical Trial Optional (P50 Clinical Trial Optional),10/11/2018,2/28/2019,RFA-AA-19-004,RFA,P50,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AA-19-004.html
Understanding the Glycemic Profile of Pregnancy - Clinical Centers (U01 Clinical Trial Not Allowed),10/11/2018,3/27/2019,RFA-DK-18-018,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-018.html
Understanding the Glycemic Profile of Pregnancy - Biostatistics Research Center (U01 Clinical Trial Not Allowed),10/11/2018,3/27/2019,RFA-DK-18-019,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-019.html
Natural History Studies Addressing Unmet Needs of Rare Diseases: Orphan Products Research Project Grant (R01),10/11/2018,1/11/2019,RFA-FD-19-001,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-19-001.html
Health-professional Education Partnership Initiative (HEPI) (R25 Clinical Trial Not Allowed),10/10/2018,12/14/2018,RFA-TW-18-002,RFA,R25,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-TW-18-002.html
Radiation Biodosimetry Assays and Devices (U01 Clinical Trial Not Allowed),10/10/2018,2/12/2019,RFA-AI-18-045,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-045.html
Human Pancreas Analysis Program for Type-2 Diabetes (HPAP-T2D) (U01 Clinical Trial Not Allowed),10/10/2018,2/27/2019,RFA-DK-18-016,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-016.html
Human Pancreas Analysis Program (HPAP) (U01 Clinical Trial Not Allowed),10/10/2018,2/27/2019,RFA-DK-18-015,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-015.html
"Advancing Imaging, Device Production, and Clinical Capabilities in Digital Dentistry (R41/R42 Clinical Trial Not Allowed)",10/9/2018,9/6/2021,PA-19-021,PA,R41/R42,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-021.html
"Advancing Imaging, Device Production, and Clinical Capabilities in Digital Dentistry (R43/R44 Clinical Trial Not Allowed)",10/9/2018,9/6/2021,PA-19-022,PA,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-022.html
Mechanisms of Disparities in Etiology and Outcomes of Lung Cancer in the U.S.: The Role of Risk and Protective Factors (R21 Clinical Trial Not Allowed),10/5/2018,3/5/2021,PAR-19-019,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-019.html
Mechanisms of Disparities in Etiology and Outcomes of Lung Cancer in the U.S.: The Role of Risk and Protective Factors (R01 Clinical Trial Not Allowed),10/5/2018,3/5/2021,PAR-19-018,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-018.html
National Dental Practice-Based Research Network: Clinical Trial or Observational Study Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Optional),10/5/2018,2/12/2019,RFA-DE-19-006,RFA,UG3/UH3,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DE-19-006.html
Fc-Dependent Mechanisms of Antibody-Mediated Killing (U01 Clinical Trial Not Allowed),10/5/2018,2/2/2019,RFA-AI-18-042,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-042.html
Fc-Dependent Mechanisms of Antibody-Mediated Killing (R21 Clinical Trial Not Allowed),10/5/2018,1/8/2022,PA-19-020,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-020.html
Opportunities for Collaborative Research at the NIH Clinical Center (U01 Clinical Trial Optional),10/5/2018,4/16/2021,PAR-18-951,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-951.html
Pre-application: Opportunities for Collaborative Research at the NIH Clinical Center (X02 Clinical Trial Optional),10/5/2018,12/12/2020,PAR-18-950,PAR,X02,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-950.html
"Clinical Trial Readiness for Rare Diseases, Disorders, and Syndromes (R03 Clinical Trial Not Allowed)",10/4/2018,10/26/2021,PAR-18-952,PAR,R03,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-952.html
"Clinical Trial Readiness for Rare Diseases, Disorders, and Syndromes (R21 Clinical Trial Not Allowed)",10/4/2018,10/26/2021,PAR-18-953,PAR,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-953.html
Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement - Clinical Trial Optional),10/3/2018,1/25/2022,PA-18-935,PA,(Admin_Supp),Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-935.html
NIH Blueprint Diversity Specialized Predoctoral to Postdoctoral Advancement in Neuroscience (D-SPAN) Award (F99/K00),10/3/2018,4/16/2021,RFA-NS-19-011,RFA,F99/K00,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-19-011.html
Predoctoral Training in Advanced Data Analytics for Behavioral and Social Sciences Research (BSSR) - Institutional Research Training Program [T32],10/3/2018,5/26/2019,RFA-OD-19-011,RFA,T32,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-19-011.html
Dysregulation and Proximal Risk for Suicide (R21 Clinical Trial Optional),10/3/2018,12/6/2018,RFA-MH-19-210,RFA,R21,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-210.html
Dysregulation and Proximal  Risk for Suicide FOA (R01 Clinical Trial Optional),10/3/2018,12/6/2018,RFA-MH-19-211,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-211.html
State and Territory Produce Safety Implementation Program Expansion for Entrance into Competition B of PAR-16-137 (U18),10/2/2018,3/2/2020,PAR-19-017,PAR,U18,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-017.html
Vaccine and Treatment Evaluation Units (VTEUs) (UM1 Clinical Trial Required),10/1/2018,2/16/2019,RFA-AI-18-046,RFA,UM1,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-046.html
Leadership Group for an Infectious Diseases Clinical Research Consortium (IDCRC) (UM1 Clinical Trial Required),10/1/2018,2/16/2019,RFA-AI-18-047,RFA,UM1,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-18-047.html
Biobehavioral Basis of Chronic Pain (R21 Clinical Trial Optional),10/1/2018,1/8/2022,PA-18-943,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-943.html
Biobehavioral Basis of Chronic Pain (R01 Clinical Trial Optional),10/1/2018,1/8/2022,PA-18-944,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-944.html
Applying a Biopsychosocial Perspective to Self-Management of Chronic Pain (R21 Clinical Trial Optional),10/1/2018,1/8/2022,PA-18-946,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-946.html
Applying a Biopsychosocial Perspective to Self-Management of Chronic Pain (R01 Clinical Trial Optional),10/1/2018,1/8/2022,PA-18-945,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-945.html
Integrating Biospecimen Science Approaches into Clinical Assay Development (U01 Clinical Trial Not Allowed),9/28/2018,7/12/2021,PAR-18-947,PAR,U01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-947.html
Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R01 Clinical Trial Optional),9/27/2018,9/8/2021,PAR-18-942,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-942.html
Neuromodulation/Neurostimulation Device Development for Mental Health Applications (R21 Clinical Trial Optional),9/27/2018,9/8/2021,PAR-18-941,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-941.html
Clinical and Translational Science Award (U54 Clinical Trial Optional),9/27/2018,8/16/2021,PAR-18-940,PAR,U54,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-940.html
Research on Chronic Overlapping Pain Conditions (R01 Clinical Trial Optional),9/26/2018,1/8/2022,PA-18-937,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-937.html
Research on Chronic Overlapping Pain Conditions (R21 Clinical Trial Not Allowed),9/26/2018,1/8/2022,PA-18-939,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-939.html
The National Drug Abuse Treatment Clinical Trials Network (UG1 Clinical Trial Optional),9/26/2018,12/15/2018,RFA-DA-19-008,RFA,UG1,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-19-008.html
Computational Approaches for Validating Dimensional Constructs of Relevance to Psychopathology (R01 Clinical Trial Optional),9/26/2018,11/21/2020,RFA-MH-19-242,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-242.html
"Administrative Supplements to Cancer Center Support Grants to Strengthen the Research, Training, and Outreach Capacity of the Geographic Management of Cancer Health Disparities Program (Admin Suppl - Clinical Trial Not Allowed)",9/24/2018,12/18/2018,PA-18-934,PA,(Admin_Supp),Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-934.html
"NIH Administrative Supplements to Recover Losses Due to Hurricanes Harvey, Irma, and Maria Under the Bipartisan Budget Act of 2018 Non-Construction (Admin Supp Clinical Trial Optional)",9/24/2018,12/15/2018,PA-18-936,PA,(Admin_Supp),Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-936.html
Increasing Uptake of Evidence-Based Screening in Diverse Adult Populations (R01 Clinical Trial Optional),9/21/2018,1/8/2022,PA-18-932,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-932.html
Limited Competition for the Continuation of the Intestinal Stem Cell Consortium Coordinating Center (U24 Clinical Trial Not Allowed),9/21/2018,11/22/2018,RFA-DK-18-508,RFA,U24,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-508.html
Limited Competition for the Continuation of the Intestinal Stem Cell Consortium Research Centers (U01 Clinical Trial Not Allowed),9/21/2018,11/22/2018,RFA-DK-18-507,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-507.html
BRAIN Initiative Cell Census Network (BICCN)  Scalable Technologies and Tools for Brain Cell Census (R01 Clinical Trial Not Allowed),9/21/2018,1/25/2020,RFA-MH-19-148,RFA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-148.html
BRAIN Initiative Cell Census Network (BICCN)  Specialized Collaboratory on Human and Non-Human Primate Brain Cell Atlases (U01 Clinical Trial Not Allowed),9/21/2018,1/25/2020,RFA-MH-19-149,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-19-149.html
High-Priority Areas for Research Leveraging EHR and Large-Scale Data (R01 Clinical Trial Not Allowed),9/21/2018,9/8/2021,PAR-18-929,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-929.html
Development and Optimization of Tasks and Measures for Functional Domains of Behavior (R01 Clinical Trial Not Allowed),9/21/2018,1/8/2022,PAR-18-930,PAR,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-930.html
Research Centers in Minority Institutions (RCMI) (U54)- Clinical Trials Optional,9/20/2018,11/22/2018,RFA-MD-18-012,RFA,U54,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-18-012.html
Innovative Technologies for HIV Behavioral and Social Science Research (R43/R44 Clinical Trial Optional),9/19/2018,9/6/2021,PA-18-928,PA,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-928.html
Innovative Technologies for HIV Behavioral and Social Science Research (R41/R42 Clinical Trial Optional),9/19/2018,9/6/2021,PA-18-927,PA,R41/R42,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-927.html
HEALing Communities Study: Developing and Testing an Integrated Approach to Address the Opioid Crisis (Research Sites) (UM1 - Clinical Trial Required),9/19/2018,12/12/2018,RFA-DA-19-016,RFA,UM1,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-19-016.html
HEALing Communities Study: Developing and Testing an Integrated Approach to Address the Opioid Crisis (Data Coordinating Center) (UM1 - Clinical Trials Not Allowed),9/19/2018,12/12/2018,RFA-DA-19-017,RFA,UM1,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-19-017.html
Analytical and/or Clinical Validation of a Candidate Biomarker for Pain (R61/R33 Clinical Trial Optional),9/19/2018,3/13/2020,RFA-NS-18-046,RFA,R61/R33,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-18-046.html
